sbd,yy,toan,van,khxh,khtn,ls,dl,gdcd,sh,vl,hh,ta
2000093,2002,9.2,5.25,-1,6.67,-1,-1,-1,5.5,7.5,7,9.2
2000094,2002,7,6,-1,5.33,-1,-1,-1,5.5,4.75,5.75,5
2000095,2002,8,7,-1,6.75,-1,-1,-1,4.25,8,8,6
2000096,2001,8.8,7,-1,6.5,-1,-1,-1,6.25,7.5,5.75,5.4
2000097,2002,8.8,6.5,-1,5.83,-1,-1,-1,4.75,7.5,5.25,8.4
2000098,2002,5.6,5.75,6.58,-1,5.5,6.25,8,-1,-1,-1,6.4
2000099,2002,9.4,6.5,-1,7,-1,-1,-1,6.5,7.75,6.75,9
2000100,2002,8.2,7.5,7.42,-1,6.75,7.25,8.25,-1,-1,-1,8.2
2000101,2002,7.8,6.75,-1,5.5,-1,-1,-1,4.25,5.75,6.5,7
2000102,2002,8.4,6.25,-1,6.92,-1,-1,-1,6.75,7.75,6.25,7
2000103,2002,8.2,6.5,7.42,-1,7.5,6.75,8,-1,-1,-1,-1
2000104,2002,8,6,-1,6.83,-1,-1,-1,6,6.75,7.75,6.8
2000105,2002,8.2,5.5,-1,6.17,-1,-1,-1,7.25,3.75,7.5,7.2
2000106,2002,8.2,6,-1,6.33,-1,-1,-1,4,8,7,7.8
2000107,2002,6.6,4,-1,5.67,-1,-1,-1,6,7.75,3.25,4.4
2000108,2002,8.6,6.75,-1,7.92,-1,-1,-1,7.75,8.25,7.75,6.4
2000109,2002,7.8,6.5,-1,6.17,-1,-1,-1,5.25,5,8.25,6.2
2000110,2002,7.8,7.25,7.67,-1,5.5,8,9.5,-1,-1,-1,8
2000111,2002,8.6,7.25,-1,6.75,-1,-1,-1,6.25,6,8,5
2000112,2002,7.6,6.75,7.83,-1,6.5,8.25,8.75,-1,-1,-1,7.6
2000113,2002,6.8,7.5,7.25,-1,5.75,8,8,-1,-1,-1,8.6
2000114,2002,6,7,6.92,-1,5.5,6.75,8.5,-1,-1,-1,6.6
2000115,2002,8.2,7.25,8.25,-1,7,8.5,9.25,-1,-1,-1,8.2
2000116,2002,8.6,7.5,-1,7.08,-1,-1,-1,6,7.25,8,6.6
2000117,2002,8.4,7.5,-1,6.92,-1,-1,-1,6.25,7.5,7,8
2000118,2002,7.2,7,7.67,-1,8,7.5,7.5,-1,-1,-1,5.4
2000119,2002,8.8,4.25,-1,6.5,-1,-1,-1,7,4.5,8,8.6
2000120,2002,7.4,6.25,-1,5.83,-1,-1,-1,5,6,6.5,7.2
2000121,2002,5.6,8.25,7.25,-1,5.75,7.75,8.25,-1,-1,-1,6.2
2000122,2002,7.8,8.25,-1,5.5,-1,-1,-1,4.25,4.5,7.75,7.4
2000123,2002,5.6,6.75,6.75,-1,5,7.25,8,-1,-1,-1,-1
2000124,2002,8.4,7,-1,4.67,-1,-1,-1,4,3.75,6.25,-1
2000125,2002,8.8,5.75,-1,6.83,-1,-1,-1,6.25,8.25,6,6.6
2000126,2002,8,7.5,-1,5.58,-1,-1,-1,4.75,6.75,5.25,-1
2000127,2002,7.2,7.25,7.67,-1,6.25,7.75,9,-1,-1,-1,5.6
2000128,2002,7.2,6.25,-1,6,-1,-1,-1,6,7.25,4.75,7
2000129,2002,7.6,6.5,7.08,-1,6,6.5,8.75,-1,-1,-1,4
2000130,2001,6.6,6.25,-1,5,-1,-1,-1,4.75,5.5,4.75,5.4
2000131,2002,9.6,7.5,-1,7.92,-1,-1,-1,7,8.25,8.5,8.2
2000132,2001,5,6.5,5.92,-1,5,4,8.75,-1,-1,-1,4
2000133,2002,8.2,7.25,-1,6,-1,-1,-1,4.75,6,7.25,9.6
2000134,2002,6.6,6.75,-1,5.42,-1,-1,-1,4.5,6.75,5,6.4
2000135,2002,8.6,6.75,6.67,-1,6.25,6.5,7.25,-1,-1,-1,8.2
2000136,2002,8,6.16,-1,6.08,-1,-1,-1,5.25,6,7,4.4
2000137,2002,7.4,7,-1,5.75,-1,-1,-1,4.5,7.25,5.5,6.8
2000138,2002,7.4,6.25,-1,5.75,-1,-1,-1,5.75,5.75,5.75,5.4
2000139,2002,8.2,7.75,-1,7.17,-1,-1,-1,5.25,9,7.25,5.6
2000140,2002,6,7,5.83,-1,4.25,6,7.25,-1,-1,-1,2.4
2000141,2002,7.2,7,-1,5.58,-1,-1,-1,4.75,5.5,6.5,4.8
2000142,2002,6.8,7.25,7.42,-1,6.25,7,9,-1,-1,-1,6.2
2000143,2002,7.8,7,-1,6.92,-1,-1,-1,5.5,7.25,8,6.2
2000144,2002,5.6,6,6.58,-1,4.75,6.5,8.5,-1,-1,-1,5.4
2000145,2002,8.8,6,-1,6.75,-1,-1,-1,6.25,8.75,5.25,8.4
2000146,2002,7,6,-1,6.08,-1,-1,-1,6.5,5.25,6.5,5
2000147,2002,8.6,5.75,-1,5.67,-1,-1,-1,4.75,6,6.25,3.8
2000148,2002,8,7.5,-1,5.75,-1,-1,-1,5,6.75,5.5,4.8
2000149,2002,8,7,-1,5.17,-1,-1,-1,4.75,4.75,6,9
2000150,2002,8.2,7.5,-1,5.25,-1,-1,-1,4.5,6.25,5,7.6
2000151,2002,5.4,6.75,5.42,-1,2.75,6.5,7,-1,-1,-1,5.4
2000152,2002,7.4,7.5,7.67,-1,7.5,7.25,8.25,-1,-1,-1,6.8
2000153,2002,7.6,7.5,6.58,-1,5.75,6.75,7.25,-1,-1,-1,9.4
2000154,2001,6.2,3.5,6.58,-1,4.75,6.75,8.25,-1,-1,-1,6.8
2000155,2002,8.4,7.5,-1,5.5,-1,-1,-1,4.75,5.75,6,4.6
