sbd,yy,toan,van,khxh,khtn,ls,dl,gdcd,sh,vl,hh,ta
2027192,2002,8.6,7.5,-1,7.25,-1,-1,-1,7,6.75,8,6.6
2027193,2002,8.8,7.75,-1,7.08,-1,-1,-1,7,9,5.25,4.6
2027194,2002,6.8,7.75,6.33,-1,5.5,6.5,7,-1,-1,-1,4.8
2027195,2002,8.4,8.5,6.92,-1,7.25,5.25,8.25,-1,-1,-1,8.2
2027196,2002,6.4,7.75,-1,5.58,-1,-1,-1,5,5.25,6.5,6.4
2027197,2002,5.8,8.25,-1,5.67,-1,-1,-1,4.75,7,5.25,5
2027198,2002,8.2,8,-1,6.75,-1,-1,-1,7.75,5.5,7,6.8
2027199,2002,7.6,8.5,7.5,-1,6.25,7.5,8.75,-1,-1,-1,8
2027200,2002,7.4,6.25,7.25,-1,4.5,7.75,9.5,-1,-1,-1,8.4
2027201,2002,9.4,7.25,-1,7.42,-1,-1,-1,7,8.25,7,7.6
2027202,2002,7.6,5,-1,6.58,-1,-1,-1,6,7.25,6.5,8.2
2027203,2002,8.6,8.5,8.17,-1,6.5,8.75,9.25,-1,-1,-1,8.2
2027204,2002,6,6.5,5.08,-1,3.5,5.5,6.25,-1,-1,-1,7.4
2027205,2002,9,8.75,-1,6.92,-1,-1,-1,6.75,6.5,7.5,9.2
2027206,2002,8,8.75,9.25,-1,9.25,9,9.5,-1,-1,-1,9.6
2027207,2002,9,7.75,-1,7.92,-1,-1,-1,7.5,8.75,7.5,7.6
2027208,2002,6.8,6.75,5.67,-1,4.75,4.75,7.5,-1,-1,-1,3.8
2027209,2002,9,8,-1,7.17,-1,-1,-1,5.75,7.75,8,7.8
2027210,2002,9,7.75,-1,7.67,-1,-1,-1,7.25,7.5,8.25,6.4
2027211,2002,7.8,7,-1,6.33,-1,-1,-1,5.75,7.75,5.5,9
2027213,2002,7.6,6,5.25,-1,4,5,6.75,-1,-1,-1,3.2
2027214,2002,6.4,7.25,-1,5.17,-1,-1,-1,3.25,8.25,4,7.4
2027215,2002,9.2,4.5,-1,5.5,-1,-1,-1,3.75,7.75,5,6.6
2027216,2002,8.4,6.25,-1,6.75,-1,-1,-1,4.25,7.5,8.5,-1
2027217,2002,8,8.5,6.67,-1,5.5,6.75,7.75,-1,-1,-1,-1
2027218,2002,8.2,7.5,-1,6.67,-1,-1,-1,6.25,8.25,5.5,4.6
2027219,2002,8.4,7.75,-1,6.58,-1,-1,-1,5.5,5.5,8.75,6
2027220,2002,7.2,7.5,-1,6.33,-1,-1,-1,6,5.75,7.25,6.8
2027221,2002,7.8,8,-1,7.08,-1,-1,-1,6.75,6.5,8,8.8
2027222,2002,8.4,3.75,-1,6.42,-1,-1,-1,5.75,8.5,5,8.2
2027223,2002,7.4,7,-1,6,-1,-1,-1,4.25,6,7.75,-1
2027224,2002,7.8,7,-1,6,-1,-1,-1,4.25,7.25,6.5,4.6
2027225,2002,9.2,7.5,-1,7.67,-1,-1,-1,7.25,8.5,7.25,9.4
2027226,2002,8.8,7,-1,6.33,-1,-1,-1,6.25,8,4.75,6
2027227,2002,7.4,3.25,-1,6.17,-1,-1,-1,4.25,8,6.25,8
2027228,2002,9,8,-1,6.75,-1,-1,-1,6.5,7.75,6,7.8
2027229,2002,8,6.25,6.83,-1,5.25,6.75,8.5,-1,-1,-1,8.4
2027230,2002,8,5.5,-1,5.75,-1,-1,-1,5,6,6.25,8
2027231,2002,8.8,8,-1,7.08,-1,-1,-1,5.5,8.25,7.5,6.2
2027232,2002,6,7,6.5,-1,5.25,6.75,7.5,-1,-1,-1,3.2
2027233,2002,7.6,7.25,-1,5.92,-1,-1,-1,4.5,7.25,6,3
2027234,2002,8.6,6.25,-1,5.25,-1,-1,-1,5.5,5.25,5,8
2027235,2002,6.8,7,6.33,-1,4.75,7,7.25,-1,-1,-1,4.2
2027236,2002,8.4,6,-1,6.5,-1,-1,-1,6.5,7.5,5.5,8.6
2027237,2002,6,7,5.83,-1,3.5,5.5,8.5,-1,-1,-1,3.8
2027238,2002,9.2,8.5,9,-1,9.25,8.75,9,-1,-1,-1,9.4
2027239,2002,8.8,7.5,7.42,-1,6.25,7.25,8.75,-1,-1,-1,7
2027240,2002,8.6,5.5,-1,6.58,-1,-1,-1,5.5,8,6.25,7.2
2027241,2002,7.8,6.5,-1,7.08,-1,-1,-1,5.25,7.75,8.25,5.2
2027242,2002,7.2,7,7.08,-1,5.5,8.25,7.5,-1,-1,-1,7.2
2027243,2002,6.8,7.5,7.58,-1,5.25,8.25,9.25,-1,-1,-1,8.2
2027244,2002,6,6.75,6.92,-1,4.25,7.5,9,-1,-1,-1,4.2
2027245,2002,5.8,6.75,4.25,-1,3,3,6.75,-1,-1,-1,3.6
2027246,2002,8.2,7.75,-1,6.75,-1,-1,-1,5.25,7.5,7.5,6
2027247,2002,8.6,8.5,-1,6.75,-1,-1,-1,4.25,7.75,8.25,7
2027248,2002,5.4,6.25,7.58,-1,5,8.25,9.5,-1,-1,-1,-1
2027249,2002,9.2,7.5,-1,7.33,-1,-1,-1,5.25,8.5,8.25,6.6
2027250,2002,8.4,8.25,-1,6.67,-1,-1,-1,6,6.5,7.5,7.4
2027251,2002,7.8,7.25,6.17,-1,4.5,6.25,7.75,-1,-1,-1,3.2
2027252,2002,7.8,8,-1,5.25,-1,-1,-1,4.75,3.5,7.5,4.8
2027253,2002,9,7.25,-1,6.42,-1,-1,-1,6,5,8.25,9.2
2027254,2002,8.2,7.25,-1,6.25,-1,-1,-1,5.25,7,6.5,8.4
2027255,2002,6.2,7,7.08,-1,4.25,7.75,9.25,-1,-1,-1,5.4
2027256,2002,6.8,7.5,6.5,-1,4.75,6.5,8.25,-1,-1,-1,5.8
2027257,2002,8.2,7,6.25,-1,4,6.25,8.5,-1,-1,-1,7
2027258,2002,7.6,6.75,7,-1,5.5,6,9.5,-1,-1,-1,7.4
2027259,2002,8,7.25,6.5,-1,3.5,7.25,8.75,-1,-1,-1,4.4
2027260,2002,7.2,7.25,5.67,-1,2.75,6,8.25,-1,-1,-1,4.6
2027261,2002,9.2,5.5,-1,6.75,-1,-1,-1,4.75,7.5,8,6
2027262,2002,5,7,5.92,-1,3.5,7,7.25,-1,-1,-1,2.2
2027263,2002,6.6,6.5,6.5,-1,4,7.25,8.25,-1,-1,-1,4.4
2027264,2002,8,8,7.42,-1,6.75,6.5,9,-1,-1,-1,8.6
2027265,2002,8.2,8,-1,7,-1,-1,-1,5.75,7.75,7.5,8
2027266,2002,8.6,6.75,-1,6.83,-1,-1,-1,5.25,8.25,7,7.6
2027267,2002,7.4,7.75,6.58,-1,4.75,6.75,8.25,-1,-1,-1,5.8
2027268,2002,5.2,7.5,6.42,-1,5,6,8.25,-1,-1,-1,4.4
2027269,2002,8.2,6.75,-1,5.83,-1,-1,-1,3.75,6.75,7,4.8
2027270,2002,8,7,-1,5.92,-1,-1,-1,5.5,7.25,5,6.4
2027271,2002,8.6,6.75,-1,7.42,-1,-1,-1,8.25,5.75,8.25,8.4
2027272,2002,8.2,7,-1,7.5,-1,-1,-1,7.25,7.75,7.5,7.8
2027273,2002,8.6,8,7.92,-1,6.5,7.75,9.5,-1,-1,-1,8.6
2027274,2002,9.2,7,-1,7.5,-1,-1,-1,7.75,7.5,7.25,8
2027275,2002,8.4,6.25,-1,6.83,-1,-1,-1,5.75,7.5,7.25,8.4
2027276,2002,8.6,6.25,-1,6.92,-1,-1,-1,6,6,8.75,7.2
2027277,2002,7.8,7.5,5.92,-1,3.5,6.75,7.5,-1,-1,-1,7.6
2027278,2002,7.8,8.25,-1,6.42,-1,-1,-1,6.75,5.5,7,9.2
2027279,2002,5.8,7.25,6.33,-1,4,7,8,-1,-1,-1,6
2027280,2002,6.8,7,6,-1,4,6.5,7.5,-1,-1,-1,7.2
2027281,2002,8,7,-1,6.75,-1,-1,-1,6.5,7,6.75,6.4
2027282,2002,8,6.5,-1,4.83,-1,-1,-1,3.75,6.25,4.5,8.6
2027283,2002,7.2,7,-1,5.33,-1,-1,-1,5,6.25,4.75,6.8
2027284,2002,6.6,5.75,7.25,-1,6.75,6.5,8.5,-1,-1,-1,4.2
2027285,2002,5.2,6.25,5.17,-1,3.75,6,5.75,-1,-1,-1,3.4
2027286,2002,7.6,8,-1,5.25,-1,-1,-1,5,5.25,5.5,5.6
2027287,2002,9.2,6.75,-1,7.83,-1,-1,-1,8.5,7.75,7.25,8
2027288,2002,7.8,7.75,6.75,-1,4.5,7.75,8,-1,-1,-1,5.8
2027289,2002,8.8,7.5,-1,6.5,-1,-1,-1,5,8.75,5.75,8.2
2027290,2002,8.2,7,-1,6.67,-1,-1,-1,4.5,7.25,8.25,6.6
2027291,2002,8.2,8.75,8.25,-1,7.25,8.25,9.25,-1,-1,-1,9.2
2027292,2002,8.2,7.5,6.58,-1,4,7,8.75,-1,-1,-1,5
2027293,2002,8.2,7.25,8.08,-1,6.5,8.25,9.5,-1,-1,-1,5.4
2027294,2001,7,7,6.83,-1,4.75,6.75,9,-1,-1,-1,-1
2027295,2002,7.2,8,6.08,-1,3.5,7.25,7.5,-1,-1,-1,6.2
2027296,2002,8.4,8,-1,6.83,-1,-1,-1,8,4.5,8,6
2027297,2002,8.4,7.75,8.17,-1,7.25,8,9.25,-1,-1,-1,6.8
2027298,2002,8.4,7.5,-1,6.42,-1,-1,-1,4.75,8,6.5,6.8
2027299,2002,8.2,6.25,-1,6.67,-1,-1,-1,5,7.25,7.75,5.8
2027300,2002,8.4,7.25,7.5,-1,6.5,7,9,-1,-1,-1,8
2027301,2002,4.4,6.25,4.33,-1,3.5,4.25,5.25,-1,-1,-1,5.4
2027302,2002,7.8,5.25,-1,6.75,-1,-1,-1,5,8,7.25,9.6
2027303,2001,6.8,5.75,8.17,-1,7.75,7.75,9,-1,-1,-1,9.8
2027304,2002,9.2,8.5,-1,6,-1,-1,-1,5,7,6,8.6
2027305,2002,8.8,8.5,8.42,-1,7,8.75,9.5,-1,-1,-1,7.4
2027306,2002,7,6.75,6.83,-1,5.5,7.5,7.5,-1,-1,-1,3.6
2027307,2002,8.8,8,-1,8.17,-1,-1,-1,6.75,8.25,9.5,8
2027308,2002,5.8,7,7.08,-1,6.25,6.75,8.25,-1,-1,-1,-1
2027309,2002,5.8,7.25,5.42,-1,2.5,6.25,7.5,-1,-1,-1,-1
2027310,2002,6.8,6.25,6.17,-1,5.75,6.5,6.25,-1,-1,-1,5.8
2027311,2002,5.4,6.25,6.25,-1,3,7.25,8.5,-1,-1,-1,2.8
2027312,2002,8.8,7.75,9.17,-1,9.5,8.5,9.5,-1,-1,-1,7.2
2027313,2002,7.8,7.75,8.5,-1,8.5,7.5,9.5,-1,-1,-1,7.8
2027314,2002,5.6,8,6.5,-1,5,6,8.5,-1,-1,-1,5
2027315,2002,5.4,6.25,5.33,-1,4,6.25,5.75,-1,-1,-1,7.4
2027316,2002,7.8,6.5,7.5,-1,5,8.75,8.75,-1,-1,-1,7.8
2027317,2002,7,6.5,5.83,-1,4.5,5.75,7.25,-1,-1,-1,-1
2027318,2002,7.4,6.75,7.08,-1,5.75,6.5,9,-1,-1,-1,-1
2027319,2001,7.2,6.5,7.5,-1,5.5,7.75,9.25,-1,-1,-1,6.4
2027320,2002,3.8,6.75,6,-1,5.25,6.75,6,-1,-1,-1,6.4
2027321,2002,8.2,7.75,7,-1,4.75,7.75,8.5,-1,-1,-1,6.6
2027322,2002,7.6,6.75,-1,5.42,-1,-1,-1,5.25,4.5,6.5,7.2
2027323,2002,9.2,3.75,-1,7.08,-1,-1,-1,6.25,8,7,9.2
2027324,2002,8.8,7.75,-1,6.5,-1,-1,-1,6.5,6.5,6.5,8
2027325,2002,8.4,8,7.17,-1,6.25,7.25,8,-1,-1,-1,6.8
2027326,2002,7.2,6,-1,5.67,-1,-1,-1,4.75,6.25,6,3.6
2027327,2002,7.6,8,-1,6.25,-1,-1,-1,5,6.5,7.25,6.6
2027328,2002,4.8,5.75,6.83,-1,4.25,7.25,9,-1,-1,-1,4
2027329,2002,5.4,6.5,6.75,-1,4.75,7.25,8.25,-1,-1,-1,5
2027330,2002,9,8.5,7.5,-1,5.25,7.5,9.75,-1,-1,-1,9.6
2027331,2002,9.6,8.75,-1,7.33,-1,-1,-1,6.75,7.75,7.5,8.6
2027332,2002,9,7.5,-1,8.17,-1,-1,-1,9,7.25,8.25,6.6
2027333,2002,8.6,8,-1,7.17,-1,-1,-1,5.25,8,8.25,5.2
2027334,2002,8,8.5,-1,5.42,-1,-1,-1,3.75,6,6.5,6
2027335,2002,8.4,8,7.5,-1,6.5,7.25,8.75,-1,-1,-1,7.6
2027336,2002,7.6,7.5,6.42,-1,5.5,5.5,8.25,-1,-1,-1,6.6
2027337,2002,8.6,6.75,-1,6.67,-1,-1,-1,8,5.25,6.75,6
2027338,2002,9.6,8.5,9.33,-1,9,9.25,9.75,-1,-1,-1,9
2027339,2002,8.2,7.75,-1,6.17,-1,-1,-1,6,7.75,4.75,9.6
2027340,2001,8.2,6.5,6.25,-1,5.5,6,7.25,-1,-1,-1,5
2027341,2002,7.6,7,6.67,-1,5.5,6.5,8,-1,-1,-1,5.4
2027342,2002,7.8,6.75,-1,6.67,-1,-1,-1,5.75,7.75,6.5,5
2027343,2002,8.8,7.5,-1,5.17,-1,-1,-1,4,6.75,4.75,8
2027344,2002,9.2,8,-1,6.42,-1,-1,-1,6.25,6,7,8.6
2027345,2002,7.2,5.75,-1,6,-1,-1,-1,4.25,6.5,7.25,6
2027346,2002,8.6,7.5,-1,5.58,-1,-1,-1,5,6,5.75,7.8
2027347,2002,8,5,-1,5.58,-1,-1,-1,5.5,6,5.25,-1
2027348,2002,8.8,8.5,-1,6.58,-1,-1,-1,6.5,5.75,7.5,8
2027349,2002,7.2,6,-1,6.17,-1,-1,-1,7,4,7.5,7.4
2027350,2002,8.4,8,-1,7.42,-1,-1,-1,6,8.25,8,7.2
2027351,2002,6.6,7,6.58,-1,5.5,6.5,7.75,-1,-1,-1,5.6
2027352,2002,8.8,5.5,-1,7.5,-1,-1,-1,6.5,8,8,8.8
2027353,2002,7.2,7,6.5,-1,4.25,7,8.25,-1,-1,-1,5.6
2027354,2002,9,6.75,-1,5.25,-1,-1,-1,6,4.5,5.25,8.2
2027355,2002,6.2,6.25,-1,5.08,-1,-1,-1,4,5.25,6,8
2027356,2002,8.4,6,-1,5.58,-1,-1,-1,3.5,8.25,5,6.4
2027357,2002,9,6,-1,6.75,-1,-1,-1,6.75,7,6.5,8
2027358,2002,5.2,5.5,-1,5.75,-1,-1,-1,4.75,6,6.5,5.4
2027359,2001,8.6,8.25,-1,7.08,-1,-1,-1,5,8.25,8,9.2
2027360,2002,8.8,6.75,-1,7.92,-1,-1,-1,6.25,8,9.5,6.8
2027361,2002,7,3.5,6.42,-1,4,7,8.25,-1,-1,-1,4.4
2027362,2002,8.4,7,-1,7.08,-1,-1,-1,5.25,8.25,7.75,6.6
2027363,2002,9,7.25,-1,7.17,-1,-1,-1,6.25,8.5,6.75,8
2027364,2002,6.6,6.75,-1,6.08,-1,-1,-1,6,6.25,6,6
2027365,2001,7.6,6.75,-1,6.92,-1,-1,-1,7,6.75,7,7.6
2027366,2002,9,7.75,-1,7.25,-1,-1,-1,7,8.25,6.5,9
2027367,2002,9.2,4,-1,7,-1,-1,-1,6,8,7,9.4
2027368,2002,7.6,7.25,-1,6.17,-1,-1,-1,6.25,7,5.25,8.4
2027369,2002,8.4,6.75,-1,5.67,-1,-1,-1,4.25,7.5,5.25,7
2027370,2002,7.2,7,6.92,-1,4.75,7,9,-1,-1,-1,4.6
2027371,2002,7.6,7,-1,6.5,-1,-1,-1,5.25,8,6.25,7.6
2027372,2002,6.2,4.75,-1,5.17,-1,-1,-1,5.25,4.75,5.5,3.8
2027373,2002,8.8,6.5,-1,5.92,-1,-1,-1,6.25,6,5.5,6.8
2027374,2002,8.4,8,6.67,-1,5.25,6.75,8,-1,-1,-1,6.2
2027375,2002,7.8,7,6.75,-1,4.5,8.25,7.5,-1,-1,-1,6.2
2027376,2002,8.2,7.25,-1,6.25,-1,-1,-1,5.25,7.5,6,5.4
2027377,2002,8.4,8.5,-1,6.42,-1,-1,-1,6.25,7,6,8.2
2027378,2002,6.6,7.75,-1,3,-1,-1,-1,3.5,3.5,2,2.8
2027379,2002,7.8,8,7.92,-1,6.25,8,9.5,-1,-1,-1,7.4
2027380,2002,7,8.5,8.92,-1,-1,7.5,9.25,-1,-1,-1,8.2
2027381,2002,7.8,7,7.17,-1,5,7.75,8.75,-1,-1,-1,5.4
2027382,2002,8.6,4.25,-1,6.42,-1,-1,-1,4.75,7.5,7,7.8
2027383,2002,9.2,8.5,-1,6.75,-1,-1,-1,5.25,8.5,6.5,8.4
2027384,2002,7.6,7,-1,6.17,-1,-1,-1,5.5,7,6,8.6
2027385,2002,4.8,6.5,6.33,-1,5.5,5.75,7.75,-1,-1,-1,5
2027386,2002,7.6,7.75,-1,4.25,-1,-1,-1,4.5,3.75,4.5,7.4
2027387,2002,9,6.25,-1,6.67,-1,-1,-1,8,4.25,7.75,-1
2027388,2002,8.4,8,-1,7.83,-1,-1,-1,8,7,8.5,7
2027389,2002,8.2,7.5,-1,6.33,-1,-1,-1,7,6.75,5.25,9.2
2027390,2002,8.8,8.5,-1,7.08,-1,-1,-1,5.75,8.5,7,8
2027391,2002,8.6,8,-1,6.42,-1,-1,-1,6.5,6.75,6,8.8
2027392,2002,6,7,5.42,-1,4,6.25,6,-1,-1,-1,2.8
2027393,2002,8.6,7.5,-1,7.17,-1,-1,-1,7.25,5.5,8.75,5.4
2027394,2002,8.8,7.5,-1,7.17,-1,-1,-1,5.75,8.25,7.5,7.2
2027395,2002,7.4,7,5.92,-1,4.75,6,7,-1,-1,-1,3.8
2027396,2002,6.6,8.25,-1,5,-1,-1,-1,5.5,4.5,5,6.6
2027397,2002,7,7,6.08,-1,3.25,7,8,-1,-1,-1,4.4
2027398,2002,5.6,6.25,6.33,-1,5.5,6.75,6.75,-1,-1,-1,5.4
2027399,2002,7.4,6,6.42,-1,4.25,6.25,8.75,-1,-1,-1,7.8
2027400,2002,6.2,6.83,6.17,-1,3.5,6.75,8.25,-1,-1,-1,4.4
2027401,2002,7.6,7,-1,5.75,-1,-1,-1,4.5,7,5.75,4.2
2027402,2002,7.8,7.25,-1,7.67,-1,-1,-1,7.75,7,8.25,9.2
2027403,2002,6.4,6.75,6.83,-1,3.75,8,8.75,-1,-1,-1,4.6
2027404,2002,8.4,5,-1,8,-1,-1,-1,7.75,8,8.25,9
2027405,2002,6,6.75,6.42,-1,3,7.5,8.75,-1,-1,-1,4
2027406,2002,8,6.5,-1,6.17,-1,-1,-1,5.5,7,6,5.2
2027407,2002,6.6,7,7.42,-1,4.75,8.25,9.25,-1,-1,-1,5.8
2027408,2002,8.2,6.25,-1,6.83,-1,-1,-1,4.5,8,8,5.8
2027409,2002,7.6,6.5,5.92,-1,5,5.75,7,-1,-1,-1,4.2
2027410,2002,7.2,5.75,-1,6,-1,-1,-1,6,5.75,6.25,9.6
2027411,2002,7.8,7.75,8.5,-1,8,7.75,9.75,-1,-1,-1,7.2
2027412,2002,8.2,7.5,-1,5.67,-1,-1,-1,4,7.75,5.25,8.8
2027413,2002,8,6.75,-1,5.75,-1,-1,-1,6,6,5.25,-1
2027414,2002,7,6.5,-1,5.75,-1,-1,-1,5.25,5.5,6.5,6.2
2027415,2002,8.4,8,-1,7.08,-1,-1,-1,7.25,8.25,5.75,9
2027416,2002,8.8,7.5,-1,7.33,-1,-1,-1,6.25,8,7.75,8.8
2027417,2002,9.4,7.25,-1,7.42,-1,-1,-1,5.75,8.25,8.25,5.8
2027418,2002,8.6,7.75,7.83,-1,7,8.25,8.25,-1,-1,-1,-1
2027419,2002,8.4,8.25,-1,6.83,-1,-1,-1,4.5,8.25,7.75,7.2
2027420,2002,7,6.5,7.17,-1,5.25,8.25,8,-1,-1,-1,3.8
2027421,2002,9.4,8.75,-1,7.25,-1,-1,-1,7.25,8.25,6.25,8.4
2027422,2002,9,6,-1,7.25,-1,-1,-1,6.75,8.25,6.75,7.8
2027423,2002,8.2,7.5,-1,7.17,-1,-1,-1,6,9,6.5,6.6
2027424,2002,7,6.75,8.67,-1,8.25,8.25,9.5,-1,-1,-1,8
2027425,2002,8.8,7.75,-1,6.58,-1,-1,-1,4.75,7.5,7.5,5
2027426,2002,7.4,7,6.33,-1,4.25,6.75,8,-1,-1,-1,7.2
2027427,2002,5,6,6.42,-1,5.5,6.75,7,-1,-1,-1,3.2
2027428,2002,6.6,6.5,7.33,-1,7,6.75,8.25,-1,-1,-1,4.4
2027429,2002,6.8,7.25,7.25,-1,5,7.75,9,-1,-1,-1,4.2
2027430,2002,7.4,7.5,-1,5.33,-1,-1,-1,5,6,5,5
2027431,2002,8,7,-1,5.58,-1,-1,-1,5,7,4.75,6.4
2027432,2002,7.8,6.75,-1,6.33,-1,-1,-1,5.5,6.5,7,9.2
2027433,2002,8,8,-1,6.75,-1,-1,-1,5.75,8,6.5,7.8
2027434,2002,6.4,6.75,6.75,-1,5,7.25,8,-1,-1,-1,3.4
2027435,2002,7.4,7.25,-1,6,-1,-1,-1,4.5,7,6.5,4.2
2027436,2002,7.6,5,6.58,-1,5,6.25,8.5,-1,-1,-1,5.8
2027437,2002,7.8,6.25,7.58,-1,5.75,8.75,8.25,-1,-1,-1,7.2
2027438,2002,8.4,7.5,-1,7.25,-1,-1,-1,8.25,6.25,7.25,8.4
2027439,2002,8.6,7.25,7.25,-1,6.5,7,8.25,-1,-1,-1,7
2027440,2002,9.6,6,-1,7,-1,-1,-1,6,7.75,7.25,8.4
2027441,2002,7,6,6.58,-1,4.5,7,8.25,-1,-1,-1,5.2
2027442,2002,8.4,8.25,-1,6.33,-1,-1,-1,5.5,6.75,6.75,7.4
2027443,2002,8.6,7.75,-1,5.75,-1,-1,-1,5.25,6.25,5.75,7.2
2027444,2002,8.2,7.75,-1,7.92,-1,-1,-1,8.25,7.75,7.75,7
2027445,2002,7.4,6.75,-1,6.33,-1,-1,-1,6,7.25,5.75,-1
2027446,2002,8.2,6.75,-1,7.67,-1,-1,-1,8.25,7,7.75,8.8
2027447,2002,8.4,6.5,-1,6.75,-1,-1,-1,6,7.25,7,4.2
2027448,2002,8,7,7.33,-1,7,7.75,7.25,-1,-1,-1,8.2
2027449,2002,8.8,7.5,-1,8.67,-1,-1,-1,8.75,8.25,9,8.4
2027450,2002,9.2,7.75,-1,7.58,-1,-1,-1,6.75,8.5,7.5,8.6
2027451,2002,7.4,6.5,-1,3.92,-1,-1,-1,3,6.5,2.25,2.4
2027452,2002,7.4,7.5,5,-1,3.25,3.75,8,-1,-1,-1,3.8
2027453,2002,7.4,8.75,7.42,-1,5.5,7.5,9.25,-1,-1,-1,5.2
2027454,2002,8.4,7.5,-1,6.33,-1,-1,-1,5.75,7.5,5.75,4.8
2027455,2002,8.6,7.25,-1,7,-1,-1,-1,5.75,8.5,6.75,7.6
2027456,2002,6,7.5,5.75,-1,3.75,5.25,8.25,-1,-1,-1,5
2027457,2002,9,5.25,-1,5.25,-1,-1,-1,3.5,7.5,4.75,8.2
2027458,2002,8.8,8,-1,5.17,-1,-1,-1,5.75,4.25,5.5,9
2027459,2002,7.4,7.5,7.83,-1,7,7.5,9,-1,-1,-1,5.4
2027460,2002,8.8,8,-1,5.42,-1,-1,-1,5.25,6.25,4.75,9.4
2027461,2002,5.4,5.75,-1,4.92,-1,-1,-1,4,5.75,5,5.6
2027462,2002,8,5.75,-1,6.33,-1,-1,-1,3.75,7.25,8,3
2027463,2002,9,7.5,-1,6.92,-1,-1,-1,4.25,8,8.5,6.8
2027464,2002,8.4,7.75,-1,6.67,-1,-1,-1,5,7.5,7.5,6
2027465,2002,7.6,7.25,-1,6,-1,-1,-1,5,8.25,4.75,6.8
2027466,2002,7.2,7.25,7.33,-1,5.5,8,8.5,-1,-1,-1,6.6
2027467,2002,9,5.25,-1,6.83,-1,-1,-1,4.75,7,8.75,5
2027468,2002,3.4,6.75,6.83,-1,4.25,7.25,9,-1,-1,-1,4.6
2027469,2002,6.8,7.5,6,-1,3.75,6.75,7.5,-1,-1,-1,4
2027470,2002,7.8,7.75,7.33,-1,5.5,7.75,8.75,-1,-1,-1,6.6
2027471,2002,8.8,7,-1,7.42,-1,-1,-1,6.75,8.75,6.75,9.2
2027472,2002,7.8,7.75,6.58,-1,3.75,7,9,-1,-1,-1,5.2
2027473,2002,8.6,7.5,-1,7.5,-1,-1,-1,7.25,7.75,7.5,9
2027474,2002,6.6,5.75,4.33,-1,3.5,4.5,5,-1,-1,-1,3.8
2027475,2002,9.4,7.5,-1,6.58,-1,-1,-1,5,8.5,6.25,8.2
2027476,2002,8.2,7.75,-1,5.58,-1,-1,-1,3.5,7,6.25,8
2027477,2002,7.8,6.75,5.25,-1,2.75,5.25,7.75,-1,-1,-1,5.6
2027478,2002,7.2,5,-1,5.67,-1,-1,-1,5.25,6.75,5,-1
2027479,2002,9,5.75,-1,8,-1,-1,-1,7,8.25,8.75,7
2027480,2002,7.6,7.25,6.67,-1,5.5,7,7.5,-1,-1,-1,6.4
2027481,2002,8.2,7.25,-1,7,-1,-1,-1,4.75,8,8.25,3.4
2027482,2002,7.4,6.5,-1,4.75,-1,-1,-1,4.25,6.25,3.75,6
2027483,2002,7.8,7,-1,7,-1,-1,-1,6,7.25,7.75,7.4
2027484,2002,5.6,4,-1,4.25,-1,-1,-1,4.5,4.5,3.75,-1
2027485,2002,9.2,6.5,-1,6.67,-1,-1,-1,6.75,7.25,6,5.2
2027486,2002,6.2,5.75,6.75,-1,5.5,6.75,8,-1,-1,-1,6
2027487,2002,9.4,6.75,-1,7,-1,-1,-1,6,8,7,9
2027488,2002,5.2,6,7,-1,5.25,7.75,8,-1,-1,-1,4
2027489,2002,7.8,5,-1,7.25,-1,-1,-1,6.25,7.75,7.75,6.2
2027490,2002,7,7,6,-1,2.75,7.25,8,-1,-1,-1,8.6
2027491,2002,5.4,6.75,6.33,-1,4.5,6.5,8,-1,-1,-1,4
2027492,2002,8.6,8.25,-1,5.67,-1,-1,-1,5,5,7,8.4
2027493,2002,8.4,8,-1,6.33,-1,-1,-1,5.25,8.25,5.5,8.6
2027494,2002,7.2,8.25,-1,6.58,-1,-1,-1,5.25,6.75,7.75,-1
2027495,2002,6,6.75,7.25,-1,4.25,7.75,9.75,-1,-1,-1,8
2027496,2002,9,6.75,-1,6.58,-1,-1,-1,5.75,7,7,8.2
2027497,2002,7,6.25,-1,7.08,-1,-1,-1,6.5,7,7.75,6.2
2027498,2002,8.6,6.75,-1,7.83,-1,-1,-1,6.75,8.5,8.25,5.6
2027499,2002,6.8,6.5,6.5,-1,4.75,6.25,8.5,-1,-1,-1,4.4
2027500,2002,6.4,7,7.92,-1,6.75,7.75,9.25,-1,-1,-1,6
2027501,2002,8.2,6.75,-1,6.75,-1,-1,-1,4.25,7.75,8.25,7.6
2027502,2002,6.8,6.25,-1,6.42,-1,-1,-1,5.25,7.75,6.25,5.4
2027503,2002,8,8,-1,5.08,-1,-1,-1,4.25,5.25,5.75,8.4
2027504,2002,8,7,-1,6.83,-1,-1,-1,5.75,7.5,7.25,9
2027505,2002,9,5,-1,6.33,-1,-1,-1,5.75,8,5.25,8.8
2027506,2002,8.2,6.75,-1,6.67,-1,-1,-1,5.5,8.5,6,9.4
2027507,2002,6,7.25,6.33,-1,4.5,7,7.5,-1,-1,-1,4.2
2027508,2002,9.2,6.75,-1,7.67,-1,-1,-1,6.5,8.25,8.25,5.2
2027509,2002,8,7,-1,6.5,-1,-1,-1,7.25,5.75,6.5,5
2027510,2002,7.6,6.5,-1,5.58,-1,-1,-1,5,7,4.75,6.8
